website,city,name,zip,phone2,phone1,page_link,rank,state,longitude,address,latitude
,Malibu,Vie De Paris,90265,,(310) 317-0834,http://www.yellowpages.com/malibu-ca/mip/vie-de-paris-6606701?lid=6606701,0.0 stars,CA,-118.64272,21424 Deerpath Ln,,34.04276
,Malibu,Creative Zest Collaboration,90265,,(310) 459-1948,http://www.yellowpages.com/malibu-ca/mip/creative-zest-collaboration-30545018?lid=30545018,0.0 stars,CA,-118.57315,3732 Seahorn Dr,,34.045624
,Malibu,Getty Villa Cafe,90265,,(310) 440-6810,http://www.yellowpages.com/malibu-ca/mip/getty-villa-cafe-466014846?lid=466014846,0.0 stars,CA,-118.568924,17985 Pacific Coast Hwy,,34.041985
,Malibu,Merchant of Memeories,90265,,(310) 457-6218,http://www.yellowpages.com/malibu-ca/mip/merchant-of-memeories-9019773?lid=9019773,0.0 stars,CA,,,
,Malibu,Sub Zero,90263,,(310) 317-0561,http://www.yellowpages.com/malibu-ca/mip/sub-zero-466604139?lid=466604139,0.0 stars,CA,,,
,Malibu,Duck Dive Gastro Pub Inc,90265,,(310) 589-2200,http://www.yellowpages.com/malibu-ca/mip/duck-dive-gastro-pub-inc-480190034?lid=480190034,0.0 stars,CA,-118.80933,29169 Heathercliff Rd,,34.020847
http://sageroommalibu.com/,Malibu,Sage Room,90265,,(310) 457-0711,http://www.yellowpages.com/malibu-ca/mip/sage-room-6516383?lid=6516383,4.5 stars,CA,-118.801575,28915 Pacific Coast Hwy,,34.021225
http://www.lacostamission.com,Malibu,La Costa Mission,90265,,(310) 317-0110,http://www.yellowpages.com/malibu-ca/mip/la-costa-mission-468442538?lid=468442538,0.0 stars,CA,-118.638596,21337 Pacific Coast Hwy,,34.037292
,Malibu,Malibu Country Roadhouse,90265,,(310) 456-8900,http://www.yellowpages.com/malibu-ca/mip/malibu-country-roadhouse-472830412?lid=472830412,0.0 stars,CA,-118.742874,26025 Pacific Coast Hwy,,34.033154
,Malibu,American Gothic,90265,,(310) 456-0017,http://www.yellowpages.com/malibu-ca/mip/american-gothic-469818195?lid=469818195,0.0 stars,CA,-118.68498,3201 Retreat Ct,,34.046425
,Malibu,Launch America,90265,,(310) 589-5300,http://www.yellowpages.com/malibu-ca/mip/launch-america-466015008?lid=466015008,0.0 stars,CA,-118.76883,4980 Latigo Canyon Rd,,34.03717
http://johnniesnypizza.com,Malibu,Johnnie's New York Pizzeria,90265,,(310) 456-1717,http://www.yellowpages.com/malibu-ca/mip/johnnies-new-york-pizzeria-11804506?lid=11804506,0.0 stars,CA,-118.660355,22333 Pacific Coast Hwy,,34.039375
,Malibu,La Villa Contenta,90265,,(310) 457-5772,http://www.yellowpages.com/malibu-ca/mip/la-villa-contenta-469810526?lid=469810526,0.0 stars,CA,-118.76,26900 Pacific Coast Hwy,,34.027233
,Malibu,La Villa Contenta,90265,,(310) 457-5776,http://www.yellowpages.com/malibu-ca/mip/la-villa-contenta-469815138?lid=469815138,0.0 stars,CA,-118.75926,26848 Pacific Coast Hwy,,34.027607
http://www.takethiscall.com,Malibu,Take This Call,90265,,(310) 456-6761,http://www.yellowpages.com/malibu-ca/mip/take-this-call-455057461?lid=455057461,0.0 stars,CA,-118.68057,3621 Serra Rd,,34.041245
,Malibu,Howdy's Rancho Caf,90265,,(310) 317-4757,http://www.yellowpages.com/malibu-ca/mip/howdys-rancho-caf-474788121?lid=474788121,0.0 stars,CA,-118.685524,3835 Cross Creek Rd Ste 3,,34.03659
http://www.subway.com/,Malibu,Subway,90265,,(310) 456-0565,http://www.yellowpages.com/malibu-ca/mip/subway-8896976?lid=8896976,0.0 stars,CA,-118.69102,23705 Malibu Rd,,34.03377
http://www.mcdonalds.com/,Malibu,McDonald's,90265,,(310) 456-6996,http://www.yellowpages.com/malibu-ca/mip/mcdonalds-7980588?lid=7980588,1.0 stars,CA,-118.67027,22725 Pacific Coast Hwy,,34.0394
http://www.jackinthebox.com/,Malibu,Jack in the Box,90265,,(310) 456-8943,http://www.yellowpages.com/malibu-ca/mip/jack-in-the-box-13206344?lid=13206344,1.0 stars,CA,-118.677956,23017 Pacific Coast Hwy,,34.03672
http://www.kfc.com,Malibu,KFC,90265,,(310) 456-2480,http://www.yellowpages.com/malibu-ca/mip/kfc-3735916?lid=3735916,0.0 stars,CA,-118.67138,22751 Pacific Coast Hwy,,34.039303
http://www.chipotle.com,Malibu,Chipotle Mexican Grill,90265,,(424) 644-2184,http://www.yellowpages.com/malibu-ca/mip/chipotle-mexican-grill-475159077?lid=475159077,0.0 stars,CA,-118.685555,3822 Cross Creek Rd,,34.03667
http://www.bajafresh.com,Malibu,Baja Fresh Mexican Grill,90265,,(310) 774-5933,http://www.yellowpages.com/malibu-ca/mip/baja-fresh-mexican-grill-474372834?lid=474372834,0.0 stars,CA,-118.672966,22800 Pacific Coast Hwy,,34.038956
http://www.noburestaurants.com/malibu/experience/introduction,Malibu,Nobu Malibu,90265,,(310) 317-9140,http://www.yellowpages.com/malibu-ca/mip/nobu-malibu-473535078?lid=473535078,3.5 stars,CA,-118.66953,22706 Pacific Coast Hwy,,34.03944
http://www.bajafresh.com,Malibu,Baja Fresh Mexican Grill,90265,,(310) 774-5933,http://www.yellowpages.com/malibu-ca/mip/baja-fresh-mexican-grill-474372834?lid=474372834,0.0 stars,CA,-118.672966,22800 Pacific Coast Hwy,,34.038956
http://www.noburestaurants.com/malibu/experience/introduction,Malibu,Nobu Malibu,90265,,(310) 317-9140,http://www.yellowpages.com/malibu-ca/mip/nobu-malibu-473535078?lid=473535078,3.5 stars,CA,-118.66953,22706 Pacific Coast Hwy,,34.03944
http://choladathaicuisine.com/rt/,Malibu,Cholada Thai Beach Cuisine,90265,,(310) 317-0025,http://www.yellowpages.com/malibu-ca/mip/cholada-thai-beach-cuisine-2650807?lid=2650807,4.0 stars,CA,-118.58372,18763 Pacific Coast Hwy,,34.03897
http://www.zoomasushi.com,Malibu,Zooma Sushi,90265,,(310) 457-4131,http://www.yellowpages.com/malibu-ca/mip/zooma-sushi-1259512?lid=1259512,4.0 stars,CA,-118.814575,29350 Pacific Coast Hwy,,34.01844
http://www.coogiescafe.com,Malibu,Coogies Beach Cafe,90265,,(310) 317-1444,http://www.yellowpages.com/malibu-ca/mip/coogies-beach-cafe-8875665?lid=8875665,4.0 stars,CA,-118.69183,23755 Malibu Rd,,34.0337
http://www.originalthaidishes.com,Malibu,Thai Dishes,90265,,(310) 456-6655,http://www.yellowpages.com/malibu-ca/mip/thai-dishes-13950635?lid=13950635,2.5 stars,CA,-118.660355,22333 Pacific Coast Hwy,,34.039375
http://www.buisushi.com,Malibu,Bui Sushi,90265,,(310) 456-1500,http://www.yellowpages.com/malibu-ca/mip/bui-sushi-11259706?lid=11259706,5.0 stars,CA,-118.691475,23733 Malibu Rd,,34.03373
http://www.cafehabana.com,Malibu,Cafe Habana,90265,,(310) 317-0300,http://www.yellowpages.com/malibu-ca/mip/cafe-habana-456599567?lid=456599567,2.5 stars,CA,-118.68529,3939 Cross Creek Rd,,34.035152
,Malibu,Malibu Cafe,90265,,(818) 540-2400,http://www.yellowpages.com/malibu-ca/mip/malibu-cafe-460180920?lid=460180920,1.0 stars,CA,-118.81647,327 Latigo Canyon Rd,,34.09171
,Malibu,Malibu Country Roadhouse,90265,,(310) 457-4227,http://www.yellowpages.com/malibu-ca/mip/malibu-country-roadhouse-480243506?lid=480243506,0.0 stars,CA,-118.81043,29245 Heathercliff Rd,,34.019333
http://www.MalibuHowdy.com,Malibu,Howdy's Taqueria Malibu Restaurant,90265,,(310) 317-4757,http://www.yellowpages.com/malibu-ca/mip/howdys-taqueria-malibu-restaurant-5842213?lid=5842213,3.5 stars,CA,-118.685524,3835 Cross Creek Rd,,34.03659
http://www.chart-house.com,Malibu,Chart House,90265,,(310) 454-9321,http://www.yellowpages.com/malibu-ca/mip/chart-house-1549069?lid=1549069,3.0 stars,CA,-118.57612,18412 Pacific Coast Hwy,,34.039925
,Malibu,Lily's Cafe & Pastries,90265,,(310) 457-3745,http://www.yellowpages.com/malibu-ca/mip/lilys-cafe-pastries-1075235?lid=1075235,5.0 stars,CA,-118.80966,29211 Heathercliff Rd Ste 60,,34.02035
http://www.marmaladecafe.com,Malibu,Marmalade Cafe Malibu,90265,,(310) 317-4242,http://www.yellowpages.com/malibu-ca/mip/marmalade-cafe-malibu-13210738?lid=13210738,3.5 stars,CA,-118.68539,3894 Cross Creek Rd,,34.03583
http://www.starbucks.com/,Malibu,Starbucks Coffee,90265,,(310) 589-4908,http://www.yellowpages.com/malibu-ca/mip/starbucks-coffee-455331488?lid=455331488,3.0 stars,CA,-118.84311,30765 Pacific Coast Hwy,,34.030735
http://coffeebean.com/,Malibu,The Coffee Bean & Tea Leaf,90265,,(310) 456-5771,http://www.yellowpages.com/malibu-ca/mip/the-coffee-bean-tea-leaf-451357432?lid=451357432,3.0 stars,CA,-118.685524,3835 Cross Creek Rd Ste 12,,34.03659
http://www.thegodmother.com,Malibu,The Godmother of Malibu,90265,,(310) 456-3254,http://www.yellowpages.com/malibu-ca/mip/the-godmother-of-malibu-12298879?lid=12298879,0.0 stars,CA,-118.692764,23847 Stuart Ranch Rd,,34.039547
http://www.starbucks.com/,Malibu,Starbucks Coffee,90265,,(310) 457-2401,http://www.yellowpages.com/malibu-ca/mip/starbucks-coffee-462485753?lid=462485753,0.0 stars,CA,-118.80966,29211 Heathercliff Rd,,34.02035
http://www.starbucks.com/,Malibu,Starbucks Coffee,90265,,(310) 317-1436,http://www.yellowpages.com/malibu-ca/mip/starbucks-coffee-17225007?lid=17225007,0.0 stars,CA,-118.69183,23755 Malibu Rd,,34.0337
http://www.starbucks.com/,Malibu,Starbucks Coffee,90265,,(310) 317-4515,http://www.yellowpages.com/malibu-ca/mip/starbucks-coffee-451626067?lid=451626067,0.0 stars,CA,-118.68538,3900 Cross Creek Rd,,34.0358
http://www.chocolateboxcafe.com,Malibu,Chocolatebox Cafe,90265,,(310) 456-7977,http://www.yellowpages.com/malibu-ca/mip/chocolatebox-cafe-451624326?lid=451624326,0.0 stars,CA,-118.68529,3939 Cross Creek Rd,,34.035152
http://www.crumbs.com,Malibu,Crumbs Bake Shop,90265,,(310) 456-3700,http://www.yellowpages.com/malibu-ca/mip/crumbs-bake-shop-21669530?lid=21669530,0.0 stars,CA,-118.68529,3939 Cross Creek Rd,,34.035152
http://www.malibubeachinn.com,Malibu,Carbon Beach Club At Malibu Beach Inn,90265,,(310) 465-6444,http://www.yellowpages.com/malibu-ca/mip/carbon-beach-club-at-malibu-beach-inn-473508504?lid=473508504,0.0 stars,CA,-118.67456,22878 Pacific Coast Hwy,,34.038383
,Malibu,Sunlife Organics,90265,,(310) 457-6161,http://www.yellowpages.com/malibu-ca/mip/sunlife-organics-466711549?lid=466711549,0.0 stars,CA,-118.80933,29169 Heathercliff Rd,,34.020847
,Malibu,Robert J Morris Enterprises,90265,,(310) 589-4869,http://www.yellowpages.com/malibu-ca/mip/robert-j-morris-enterprises-3781845?lid=3781845,0.0 stars,CA,-118.7867,28128 Pacific Coast Hwy,,34.02411
,Malibu,Jimmy's Boardwalk Cafe,90265,,(310) 456-8500,http://www.yellowpages.com/malibu-ca/mip/jimmys-boardwalk-cafe-470853432?lid=470853432,0.0 stars,CA,-118.67685,23000 Pacific Coast Hwy,,34.03745
,Malibu,Dry Gulch Ranch-Saloon,90265,,(310) 457-9485,http://www.yellowpages.com/malibu-ca/mip/dry-gulch-ranch-saloon-8257535?lid=8257535,0.0 stars,CA,-118.9434,DRY Gulch Trl,,34.07721
website,city,name,zip,phone2,phone1,page_link,rank,state,longitude,address,latitude
http://www.elsancholoco.com,Newbury Park,El Sancho Loco Taquira,91320,,(805) 376-8226,http://www.yellowpages.com/newbury-park-ca/mip/el-sancho-loco-taquira-457072575?lid=457072575,4.5 stars,CA,-118.92702,2271 Michael Dr,,34.181675
http://www.billydzbbq.com,Newbury Park,Billy D'z Backyard BBQ,91320,,(805) 498-7772,http://www.yellowpages.com/newbury-park-ca/mip/billy-dz-backyard-bbq-468043025?lid=468043025,5.0 stars,CA,-118.94093,765 N Wendy Dr,,34.18839
http://lacucinadiventinp.com,Newbury Park,La Cucina Di Venti,91320,,(805) 480-1120,http://www.yellowpages.com/newbury-park-ca/mip/la-cucina-di-venti-468126763?lid=468126763,5.0 stars,CA,-118.97801,360 Via Las Brisas # 110,,34.172737
http://www.holdrens.com,Newbury Park,Holdren's Steak & Seafood,91320,,(805) 498-1314,http://www.yellowpages.com/newbury-park-ca/mip/holdrens-steak-seafood-3845090?lid=3845090,0.0 stars,CA,-118.91718,1714 Newbury Rd,,34.183945
http://www.azars.com,Newbury Park,Azar Sports Bar & Steakhouse,91320,,(805) 498-2365,http://www.yellowpages.com/newbury-park-ca/mip/azar-sports-bar-steakhouse-464737652?lid=464737652,5.0 stars,CA,-118.92545,2215 Michael Dr,,34.181522
http://www.fusiongrill1.com,Newbury Park,Fusion Grill,91320,,(805) 498-8827,http://www.yellowpages.com/newbury-park-ca/mip/fusion-grill-469811678?lid=469811678,0.0 stars,CA,-118.92875,2454 W Hillcrest Dr,,34.18645
http://www.countryharvestrestaurant.net,Newbury Park,Country Harvest Restaurant,91320,,(805) 375-4598,http://www.yellowpages.com/newbury-park-ca/mip/country-harvest-restaurant-11439910?lid=11439910,2.5 stars,CA,-118.94745,3345 Kimber Dr,,34.17538
http://www.tuscanypizzeriadeli.com,Santa Paula,Tuscany Pizzeria & Deli,93060,,(805) 229-7279,http://www.yellowpages.com/santa-paula-ca/mip/tuscany-pizzeria-deli-459929466?lid=459929466,0.0 stars,CA,-119.06065,973 E Main St,,34.353725
,Santa Paula,Enzo's Italian Restaurant,93060,,(805) 933-3444,http://www.yellowpages.com/santa-paula-ca/mip/enzos-italian-restaurant-462002330?lid=462002330,0.0 stars,CA,-119.06129,134 N Mill St,,34.35393
http://www.carrows.com/,Santa Paula,Carrows,93060,,(805) 525-0966,http://www.yellowpages.com/santa-paula-ca/mip/carrows-15670287?lid=15670287,0.0 stars,CA,-119.06924,327 S Palm Ave,,34.34625
http://www.hozysgrill.com,Santa Paula,Hozy's Grill,93060,,(805) 525-1068,http://www.yellowpages.com/santa-paula-ca/mip/hozys-grill-22311131?lid=22311131,0.0 stars,CA,-119.04106,1760 E Lemonwood Dr,,34.35753
http://www.zapspizza.com,Santa Paula,Zapparelli's Family Pizzeria,93060,,(805) 933-1351,http://www.yellowpages.com/santa-paula-ca/mip/zapparellis-family-pizzeria-9535987?lid=9535987,0.0 stars,CA,-119.08331,598 W Main St,,34.34525
http://www.goldenchinaventura.com/,Ventura,Golden China Restaurant,93001,,(805) 652-0688,http://www.yellowpages.com/ventura-ca/mip/golden-china-restaurant-6467523?lid=178220374,5.0 stars,CA,-119.26833,760 S Seaward Ave,,34.26591
http://www.amecipizzaandpasta.com,Santa Paula,Ameci Pizza & Pasta,93060,,(805) 933-5544,http://www.yellowpages.com/santa-paula-ca/mip/ameci-pizza-pasta-10302441?lid=10302441,5.0 stars,CA,-119.07215,125 E Harvard Blvd,,34.34632
http://www.santapaulamexicanfood.com/index.html,Santa Paula,Tlaquepaque Restaurant,93060,,(805) 933-5535,http://www.yellowpages.com/santa-paula-ca/mip/tlaquepaque-restaurant-7996072?lid=7996072,0.0 stars,CA,-119.06076,120 S Mill St,,34.352783
,Santa Paula,Rainbow Snow Company,93060,,(805) 525-6625,http://www.yellowpages.com/santa-paula-ca/mip/rainbow-snow-company-12944258?lid=12944258,0.0 stars,CA,-119.06134,933 Yale St,,34.35243
http://www.familiadiazrestaurant.com,Santa Paula,Familia Diaz,93060,,(805) 525-2813,http://www.yellowpages.com/santa-paula-ca/mip/familia-diaz-3528837?lid=3528837,4.0 stars,CA,-119.058685,245 S 10th St,,34.35112
,Ventura,Sportsman Restaurant & Cocktail Lounge,93001,,(805) 643-2851,http://www.yellowpages.com/ventura-ca/mip/sportsman-restaurant-cocktail-lounge-6343602?lid=171598214,5.0 stars,CA,-119.29313,53 S California St,,34.280163
http://www.o-sabi.com,Ventura,O-sabi Japanese Restaurant,93003,,(805) 642-6200,http://www.yellowpages.com/ventura-ca/mip/o-sabi-japanese-restaurant-10878260?lid=179397548,3.0 stars,CA,-119.21047,5795 Walker St,,34.25361
http://www.qqhawaiianbbq.com,Ventura,Q & Q Hawaiian BBQ,93003,,(805) 644-8988,http://www.yellowpages.com/ventura-ca/mip/q-q-hawaiian-bbq-8726272?lid=1000051412793,5.0 stars,CA,-119.21104,1780 S Victoria Ave # F,,34.25818
http://www.gorustys.com,Ventura,PizzaMan Dan's,93001,,(805) 658-6666,http://www.yellowpages.com/ventura-ca/mip/pizzaman-dans-3662498?lid=199016769,0.0 stars,CA,,,
http://www.tiababesrestaurante.com,Santa Paula,Tia Babe's Burritos & Mexican,93060,,(805) 525-5441,http://www.yellowpages.com/santa-paula-ca/mip/tia-babes-burritos-mexican-10914265?lid=10914265,0.0 stars,CA,-119.06054,915 E Harvard Blvd,,34.3499
,Santa Paula,Summit,93060,,(805) 933-9898,http://www.yellowpages.com/santa-paula-ca/mip/summit-7693869?lid=7693869,0.0 stars,CA,-119.08072,12689 Ojai Rd,,34.401993
http://www.roundtablepizza.com/order?id=537,Ventura,Round Table Pizza,93003,,(805) 654-0777,http://www.yellowpages.com/ventura-ca/mip/round-table-pizza-466232949?lid=1000084702177,0.0 stars,CA,-119.23405,4255 E Main St,,34.262703
http://www.alohasteakhouse.com,Ventura,Aloha Steakhouse,93001,,(805) 652-1799,http://www.yellowpages.com/ventura-ca/mip/aloha-steakhouse-5953191?lid=5953191,4.5 stars,CA,-119.29303,364 S California St,,34.277092
http://www.brophybros.com,Ventura,Brophy Bros Restaurant,93001,,(805) 639-0865,http://www.yellowpages.com/ventura-ca/mip/brophy-bros-restaurant-9799682?lid=9799682,4.0 stars,CA,-119.26584,1559 Spinnaker Dr,,34.240788
,Santa Paula,Mupu Grill,93060,,(805) 525-9779,http://www.yellowpages.com/santa-paula-ca/mip/mupu-grill-8136101?lid=8136101,0.0 stars,CA,-119.06201,930 E Main St,,34.353294
,Santa Paula,Rabalais,93060,,(805) 525-2109,http://www.yellowpages.com/santa-paula-ca/mip/rabalais-468473641?lid=468473641,0.0 stars,CA,-119.06322,861 E Main St,,34.352917
,Santa Paula,Harvard Smoke & Snack,93060,,(805) 525-8910,http://www.yellowpages.com/santa-paula-ca/mip/harvard-smoke-snack-474655834?lid=474655834,0.0 stars,CA,-119.07184,135 E Harvard Blvd,,34.346416
,Santa Paula,Duke's,93060,,(805) 525-3270,http://www.yellowpages.com/santa-paula-ca/mip/dukes-2598432?lid=2598432,0.0 stars,CA,-119.07608,252 W Harvard Blvd,,34.345013
http://www.ericericssons.com,Ventura,Eric Ericsson's,93001,,(805) 643-4783,http://www.yellowpages.com/ventura-ca/mip/eric-ericssons-455279967?lid=455279967,3.0 stars,CA,-119.290596,668 Harbor Blvd,,34.27638
